id	source_repo	source_commit	source_path	source_sha256	canonical_sha256	license	imported_variant	status
engineering/agent-rules-books/a-philosophy-of-software-design	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	a-philosophy-of-software-design/a-philosophy-of-software-design.mini.md	ad8d9bd764179c0d2fea95f2bee3e25d443589a12fec84bfead52bdd94b4645a	47732625cfd3d55f86bb6ef6bdd5ef28545f3c55fd2fd9164f6bed87b5365a6f	MIT	mini	canonical
engineering/agent-rules-books/clean-architecture	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	clean-architecture/clean-architecture.mini.md	fbead04fa4479bc0d23b8df92e1d04f555e85b9e27994a60209eb311bf342e63	1da78e71dd3c2925d8c7996ca73e26e302521d7712e209100ba01a973e22f412	MIT	mini	canonical
engineering/agent-rules-books/clean-code	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	clean-code/clean-code.mini.md	a2cd7e30a03376037e441056a5615e7a15c396642daf16f7875a0f5139b65e67	f63a21fb2b83f80ae999f0c2bb1b54545cda9bf83552303aa5332604ede631cd	MIT	mini	canonical
engineering/agent-rules-books/code-complete	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	code-complete/code-complete.mini.md	88ff0d5bade2b840ae1296b2757a3eee492d505985ea04e4deee158efa127cd7	e8ac025ab972b6ccf468f8295c3736278111c6287ab336a1da7459c808f38ab9	MIT	mini	canonical
engineering/agent-rules-books/designing-data-intensive-applications	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	designing-data-intensive-applications/designing-data-intensive-applications.mini.md	cb4ca5fa4dc4fe179772f6fc42f4cd8899a7b95677e5cee13602229099063a12	f6598e944f1a8a14a38d7e1ea0d96425541af3e1626d54715f3445acc9625d20	MIT	mini	canonical
engineering/agent-rules-books/domain-driven-design	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	domain-driven-design/domain-driven-design.mini.md	ed6febaa19d3b8c59a67ce61ee6e950e472743f0aa6655a6fed5d6d1d1e8691a	a55d98151c59df09926eb9ff9e56b766c2020d0b2505164b0aea693506e8e813	MIT	mini	canonical
engineering/agent-rules-books/domain-driven-design-distilled	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	domain-driven-design-distilled/domain-driven-design-distilled.mini.md	830e1792c886ed8751a3fa80f2c10af6da2ec280fe462dd63584d9ab48c7364a	19de74f1b40e43e467a111043a7b8fd0c43d43423f35df0587bfd50e79417beb	MIT	mini	canonical
engineering/agent-rules-books/implementing-domain-driven-design	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	implementing-domain-driven-design/implementing-domain-driven-design.mini.md	9c1a6bd647823e514320840a32cf06ab26b04ec03656d63820e75db959858249	917d84b03a0b141c3e50af5cf45dd27acde05bcf693a643b0137dc7705058012	MIT	mini	canonical
engineering/agent-rules-books/patterns-of-enterprise-application-architecture	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	patterns-of-enterprise-application-architecture/patterns-of-enterprise-application-architecture.mini.md	f4ffcc47f78c524195ea687a7030d5629cc2761bd86cfb9948533e4212a01f4d	1374ca42109025621d0a7aea208ebf0c0b3eccf21d628331062ef1450051d98b	MIT	mini	canonical
engineering/agent-rules-books/refactoring-guru	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	refactoring-guru/refactoring-guru.mini.md	c7c752b794400cbc0527c5a721c323531dfe3c0e963ab95f7c92c51603006054	0393adc2bc92937a854a9273ccd3a16d8285a77b73ac3ceebe504597f29ab1a4	MIT	mini	canonical
engineering/agent-rules-books/refactoring	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	refactoring/refactoring.mini.md	dc3dc62dad43d9178a57aa768cab7be909bf48bbeb0f040401f90a22cd7c8c2c	e7d861980bfe9a91e1f3e1a995aec24f35515fd8258a71ddec421d23b673a56a	MIT	mini	canonical
engineering/agent-rules-books/release-it	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	release-it/release-it.mini.md	21f3e9cdef379f4980b8883d36b587770e56917f0862fac46e57cd1e58d18855	41f254386abc0e308fbb473b6f2c05b2cd4a08258d7832c48cc8924a97acd1fd	MIT	mini	canonical
engineering/agent-rules-books/the-pragmatic-programmer	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	the-pragmatic-programmer/the-pragmatic-programmer.mini.md	8c0bfde32f29be00e595cf6c103a04b395d258c266784846ac57f2c3944f470f	b658d16cab6d279fca8d15bc5df6924deec073a2b8f965e1fd3d9f0dd2ee5494	MIT	mini	canonical
engineering/agent-rules-books/working-effectively-with-legacy-code	https://github.com/ciembor/agent-rules-books	9c8763613514e4047d75c089533e09bc4b493c28	working-effectively-with-legacy-code/working-effectively-with-legacy-code.mini.md	44eb9d44b7fd51cac342348c65f099deb806729d40edacd43b96fb435fa31051	41e6dbd611be6f677d5204ebdcc5c8e5590c3afb91ca9bdbb8e2939382a8c43e	MIT	mini	canonical
engineering/clean-architecture-skills/clean-architecture	https://github.com/nathankim0/clean-architecture-skills	0022fbb712f28517aa07a531fd82c70a9e531beb	plugins/clean-architecture/skills/clean-architecture/SKILL.md	9d167179af370976d8e541d5665c9cb009689ba2d885cf5846567d9785206604	9d167179af370976d8e541d5665c9cb009689ba2d885cf5846567d9785206604	MIT	plugin-skill	canonical
engineering/clean-architecture-skills/kent-beck-style	https://github.com/nathankim0/clean-architecture-skills	0022fbb712f28517aa07a531fd82c70a9e531beb	plugins/kent-beck-style/skills/kent-beck-style/SKILL.md	b58deb65688e3ed836135c078e0884a5ab89527c383a8d08fa0b428f0fa90f2a	b58deb65688e3ed836135c078e0884a5ab89527c383a8d08fa0b428f0fa90f2a	MIT	plugin-skill	canonical
engineering/codebase-design	https://github.com/mattpocock/skills	6654f6b60cd9d5be8b54c6fafe44346dabeb3b76	skills/engineering/codebase-design/SKILL.md	2c20617f87ec8af6a434859f381b2f061a69b530444e74eb39e78bb016a6d1e2	2c20617f87ec8af6a434859f381b2f061a69b530444e74eb39e78bb016a6d1e2	MIT	requested-skill	canonical
engineering/diagnosing-bugs	https://github.com/mattpocock/skills	6654f6b60cd9d5be8b54c6fafe44346dabeb3b76	skills/engineering/diagnosing-bugs/SKILL.md	77f3cf31bc99b2f49af943222526531fcc9fc41d047626d3640e875e85af3e84	77f3cf31bc99b2f49af943222526531fcc9fc41d047626d3640e875e85af3e84	MIT	requested-skill	canonical
engineering/domain-modeling	https://github.com/mattpocock/skills	6654f6b60cd9d5be8b54c6fafe44346dabeb3b76	skills/engineering/domain-modeling/SKILL.md	327a2b50620e2fd70abc6893cd6965e76b20f8d0adb0dc2c8d5eb3845efb643e	327a2b50620e2fd70abc6893cd6965e76b20f8d0adb0dc2c8d5eb3845efb643e	MIT	requested-skill	canonical
engineering/improve-codebase-architecture	https://github.com/mattpocock/skills	6654f6b60cd9d5be8b54c6fafe44346dabeb3b76	skills/engineering/improve-codebase-architecture/SKILL.md	d1ac25511a936ff4250a48dbcefda363837d6bb9321b3cba73df99fa37270a75	d1ac25511a936ff4250a48dbcefda363837d6bb9321b3cba73df99fa37270a75	MIT	requested-skill	canonical
engineering/resolving-merge-conflicts	https://github.com/mattpocock/skills	6654f6b60cd9d5be8b54c6fafe44346dabeb3b76	skills/engineering/resolving-merge-conflicts/SKILL.md	9d8114f8ef0b31f535a265fc05c364bd8cf2e2895a830040e06c22acb11f54b0	9d8114f8ef0b31f535a265fc05c364bd8cf2e2895a830040e06c22acb11f54b0	MIT	requested-skill	canonical
engineering/addy/api-and-interface-design	https://github.com/addyosmani/agent-skills	d2c37ef6225dd8726cdd369a8030307f48592d26	skills/api-and-interface-design/SKILL.md	5dafd0c44a3aabf11cae5bcb34f6fcc24dfa5c01ba6e0d3176bce997f4d68bc8	5dafd0c44a3aabf11cae5bcb34f6fcc24dfa5c01ba6e0d3176bce997f4d68bc8	MIT	requested-skill	canonical
engineering/addy/ci-cd-and-automation	https://github.com/addyosmani/agent-skills	d2c37ef6225dd8726cdd369a8030307f48592d26	skills/ci-cd-and-automation/SKILL.md	a6ed8ed56456b01ff8314c44eefc69897d9905ae4e06bb2b7036286efb79b5f0	a6ed8ed56456b01ff8314c44eefc69897d9905ae4e06bb2b7036286efb79b5f0	MIT	requested-skill	canonical
engineering/addy/context-engineering	https://github.com/addyosmani/agent-skills	d2c37ef6225dd8726cdd369a8030307f48592d26	skills/context-engineering/SKILL.md	ff9d4e5706bdd2eb7de1bfed569f1f42d28e478979ce6fcc32e617e7861b491d	ff9d4e5706bdd2eb7de1bfed569f1f42d28e478979ce6fcc32e617e7861b491d	MIT	requested-skill	canonical
engineering/addy/documentation-and-adrs	https://github.com/addyosmani/agent-skills	d2c37ef6225dd8726cdd369a8030307f48592d26	skills/documentation-and-adrs/SKILL.md	b867bb80fb681257c7625ae59a0dfd849b1fc0f0a2f0338e7923f38030df9793	b867bb80fb681257c7625ae59a0dfd849b1fc0f0a2f0338e7923f38030df9793	MIT	requested-skill	canonical
engineering/addy/frontend-ui-engineering	https://github.com/addyosmani/agent-skills	d2c37ef6225dd8726cdd369a8030307f48592d26	skills/frontend-ui-engineering/SKILL.md	2b74ac4862be3902ec918dceac9366a6fe83b9e003601c0deaf6be09c1766aca	2b74ac4862be3902ec918dceac9366a6fe83b9e003601c0deaf6be09c1766aca	MIT	requested-skill	canonical
engineering/addy/git-workflow-and-versioning	https://github.com/addyosmani/agent-skills	d2c37ef6225dd8726cdd369a8030307f48592d26	skills/git-workflow-and-versioning/SKILL.md	39665e84d944fbb394dde5e4e60fc6497cd056002b5c7de6762213f7018ff0a3	39665e84d944fbb394dde5e4e60fc6497cd056002b5c7de6762213f7018ff0a3	MIT	requested-skill	canonical
engineering/addy/performance-optimization	https://github.com/addyosmani/agent-skills	d2c37ef6225dd8726cdd369a8030307f48592d26	skills/performance-optimization/SKILL.md	00694d0c69bbde674d0e39de24052d90afea32d9fef9553eaee21a50a7e9b8cf	00694d0c69bbde674d0e39de24052d90afea32d9fef9553eaee21a50a7e9b8cf	MIT	requested-skill	canonical
engineering/addy/planning-and-task-breakdown	https://github.com/addyosmani/agent-skills	d2c37ef6225dd8726cdd369a8030307f48592d26	skills/planning-and-task-breakdown/SKILL.md	ed0f90cc5951ddd4bcab7f871f64efec93a49af9279ef93bc470da77ad8da3f7	ed0f90cc5951ddd4bcab7f871f64efec93a49af9279ef93bc470da77ad8da3f7	MIT	requested-skill	canonical
